date,gate_error_one_qubit,gate_error_two_qubit,n_qubits,t_gates,phase_gates,h_gates,cnot_gates,kullback_error,jensen-error
2024-02-27 19:38:28,7.85365131764739e-05,0.007890508160354,15.0,3.0,2.0,2.0,12.0,0.06526884392122388,0.06183054886101338
2024-02-27 19:39:59,7.85365131764739e-05,0.007890508160354,15.0,8.0,4.0,10.0,64.0,0.003347952867143343,0.6378171433840418
2024-02-27 21:40:20,7.85365131764739e-05,0.007890508160354,10.0,1.0,5.0,3.0,31.0,0.07959982164680789,0.12221432298087068
2024-02-27 23:40:40,7.85365131764739e-05,0.007890508160354,10.0,6.0,7.0,12.0,45.0,0.1658392557979019,0.28597846528026283
2024-02-28 01:41:00,7.85365131764739e-05,0.007890508160354,10.0,8.0,7.0,6.0,27.0,0.12227952344027558,0.21600342025544386
2024-02-28 03:41:21,7.85365131764739e-05,0.007890508160354,15.0,9.0,10.0,3.0,40.0,0.04916046609091961,0.3589240009587063
2024-02-28 05:41:40,7.85365131764739e-05,0.007890508160354,5.0,3.0,6.0,1.0,13.0,0.026779846233846112,0.006911538381370658
2024-02-28 07:42:00,7.85365131764739e-05,0.007890508160354,10.0,3.0,3.0,6.0,28.0,0.1282892661129671,0.152538347346114
2024-02-28 09:42:19,8.987801460947296e-05,0.007890508160354,10.0,2.0,2.0,0.0,16.0,0.017382772580289814,0.029662960400905828
2024-02-28 11:42:43,8.987801460947296e-05,0.007890508160354,10.0,7.0,5.0,1.0,32.0,0.09645633455724929,0.0960363330515996
2024-02-28 13:43:03,8.987801460947296e-05,0.0049552245534998,15.0,3.0,1.0,4.0,12.0,0.07040798420930224,0.10410356378528979
2024-02-28 15:43:25,8.987801460947296e-05,0.0049552245534998,5.0,4.0,7.0,4.0,18.0,0.02998016562646117,0.006987803891870238
2024-02-28 17:43:47,8.987801460947296e-05,0.0049552245534998,15.0,8.0,3.0,7.0,35.0,0.08264183476350413,0.41117397972531944
2024-02-28 19:44:09,8.987801460947296e-05,0.0049552245534998,5.0,2.0,4.0,1.0,14.0,0.026447692855523685,0.00615873312959966
